file_name,text
2366.png,"A waist‑tied garment of cloth, leather, or plastic protecting clothing during work. style arasaac"
2314.png,A state of depleted strength and energy causing sluggish movement and reduced alertness style arasaac
2268.png,"Large marine mammal with streamlined body, blowhole breathing, omnivorous, viviparous. style arasaac"
2414.png,Mounted faucet with handle that regulates water flow through a spout into sinks or walls style arasaac
2338.png,"Trademarked carbonated soft drink flavored with kola nut extract, iconic red branding. style arasaac"
2292.png,Yellow public mailbox with rectangular slot and crown emblem for depositing mail style arasaac
2397.png,"Marine mammal with streamlined body, flippers, whiskers; breeds on shore in cold seas. style arasaac"
2245.png,"Inducing mental fatigue through unvarying, unengaging content that fails to capture attention. style arasaac"
2367.png,"Sharp bodily sensation indicating tissue damage, often accompanied by distress and physiological response style arasaac"
2413.png,Handheld device that drives metal staples through papers to bind them together style arasaac
2282.png,Writing instrument using a rotating metal ball to transfer ink onto paper style arasaac
2403.png,"Adult female chicken, domesticated bird with red comb, yellow beak, and feathered tail style arasaac"
2429.png,Steeping or soaking a substance in liquid to extract flavors or active compounds. style arasaac
2394.png,"Small decorative sculpture representing a bodily form, often artistic and crafted from materials. style arasaac"
2384.png,"Edible plant shoots, green tips and pale elongated stems, cooked as vegetable. style arasaac"
2346.png,Thick padded rectangular surface used for gymnastics and other indoor sports activities. style arasaac
2368.png,"Sweet fried ring-shaped cake with hole, often glazed and sprinkled. style arasaac"
2363.png,Long-handled spoon-shaped vessel used to scoop and transfer liquids in cooking. style arasaac
2410.png,"Largest terrestrial herbivorous ape from central‑west African forests, robust, brown‑furred. style arasaac"
2401.png,Experiences shivers and intense discomfort when exposed to low temperatures. style arasaac
2380.png,Mark symbols on a surface to convey language or ideas through written expression. style arasaac
2336.png,"Leather strap with buckle, worn around waist to secure clothing. style arasaac"
2310.png,"Collarless male garment covering torso, worn beneath other clothing or alone. style arasaac"
2262.png,Large road vehicle that transports many passengers on public routes. style arasaac
2381.png,"Perceive sounds through the auditory system, attending to spoken or ambient noises. style arasaac"
2319.png,"Short outer garment with collar, zipper, pockets, and decorative trim. style arasaac"
2250.png,Soft rectangular cushion for supporting a sleeping person's head during rest. style arasaac
2325.png,"Transparent adhesive tape, typically beige, dispensed from a green plastic holder for sealing. style arasaac"
2400.png,Sweet red fleshy fruit with tiny seeds and green leafy cap style arasaac
2332.png,"Coordinated jacket and pants of same fabric, styled for athletic or casual wear. style arasaac"
2275.png,"A newborn human, typically up to one year, dependent and still developing. style arasaac"
2328.png,Breakfast food consisting of processed grain pieces served in a bowl with milk style arasaac
2390.png,Heavy tracked machine with articulated arm and bucket for digging and moving earth. style arasaac
2286.png,"Eliminate pencil marks by rubbing with an eraser, clearing the surface. style arasaac"
2288.png,Glass or plastic cylindrical container with a narrow neck for storing liquids. style arasaac
2378.png,"Electronic apparatus comprising a console and speakers that records, processes, and reproduces audio style arasaac"
2287.png,"High rubber footwear covering foot and ankle, often worn for wet conditions. style arasaac"
2349.png,"To take in solid food by chewing and swallowing, fulfilling nutritional needs. style arasaac"
2324.png,"African equine with black and white stripes, herbivorous, terrestrial, viviparous mammal style arasaac"
2372.png,"Large gray mammalian pachyderm with five toes, trunk, tusks, herbivorous diet style arasaac"
2423.png,Male sibling sharing both parents with another person within a family. style arasaac
2289.png,"Short undergarments for females covering hips and pelvis, often made of soft fabric. style arasaac"
2253.png,"Parabolic reflector antenna mounted on a stand, directing microwave or radio signals upward. style arasaac"
2353.png,"Resident attendant who manages building entry, mail, maintenance, and guest services. style arasaac"
2270.png,"Form‑fitting orange one‑piece garment with white side stripes, designed for swimming. style arasaac"
2352.png,"Feeling lost, thoughts tangled, unable to discern clarity or direction, experiencing mental disorientation. style arasaac"
2251.png,"Emergency vehicle transporting patients to and from hospitals, marked with red cross. style arasaac"
2370.png,Plumbing fixture that sprays water in a diagonal stream for bathing. style arasaac
2316.png,"Edible animal flesh, including fish, birds, and other species, used as food. style arasaac"
